,Observed warming,GHG forcing
1980,0.4,0.9689901635
1980.125,0.4025367973,0.965750443
1980.25,0.4050676768,0.9625545766
1980.375,0.4075926852,0.9594023468
1980.5,0.4101118688,0.9562934866
1980.625,0.4126252736,0.9602355164
1980.75,0.4151395428,0.9642202533
1980.875,0.417654714,0.9682473135
1981,0.4201708248,0.9723162823
1981.125,0.4226879122,0.9764267175
1981.25,0.4252060128,0.9805777754
1981.375,0.4277251623,0.9847689563
1981.5,0.4302453959,0.9889997444
1981.625,0.4327667484,0.939344263
1981.75,0.435238488,0.8897273196
1981.875,0.4376607062,0.8401483445
1982,0.4400334937,0.7906067622
1982.125,0.4423569408,0.7411019972
1982.25,0.4446311371,0.6916335165
1982.375,0.4468561719,0.6422007483
1982.5,0.4490321336,0.5928031355
1982.625,0.4511591104,0.5484312808
1982.75,0.4532418884,0.5040935237
1982.875,0.4552805492,0.4597893711
1983,0.457275174,0.4155183558
1983.125,0.4592258433,0.3712800372
1983.25,0.4611326374,0.3270741511
1983.375,0.4629956362,0.2829003126
1983.5,0.4648149191,0.2387581662
1983.625,0.4665905653,0.2914421402
1983.75,0.468413777,0.3441571824
1983.875,0.4702845285,0.3969030616
1984,0.4722027936,0.449679575
1984.125,0.474168546,0.5024865408
1984.25,0.476181759,0.5553240351
1984.375,0.4782424062,0.6081919048
1984.5,0.480350461,0.6610900019
1984.625,0.4825058965,0.6950163331
1984.75,0.4846907971,0.7289725943
1984.875,0.4869051562,0.7629586225
1985,0.489148967,0.7969742464
1985.125,0.4914222224,0.8310192853
1985.25,0.4937249152,0.8650938875
1985.375,0.4960570382,0.8991978553
1985.5,0.4984185842,0.9333309787
1985.625,0.5008095455,0.9384758231
1985.75,0.5032025972,0.9436493661
1985.875,0.5055977627,0.9488513488
1986,0.5079950651,0.9540814999
1986.125,0.5103945273,0.9593395368
1986.25,0.5127961717,0.9646253479
1986.375,0.5152000209,0.9699386386
1986.5,0.5176060969,0.975279108
1986.625,0.5200144215,0.9861156193
1986.75,0.522430165,0.9969786916
1986.875,0.5248533424,1.0078680129
1987,0.5272839687,1.0187832687
1987.125,0.5297220584,1.0297241428
1987.25,0.5321676257,1.0406904028
1987.375,0.5346206847,1.0516817331
1987.5,0.537081249,1.0626978174
1987.625,0.5395493318,1.0806548872
1987.75,0.5420314576,1.098636079
1987.875,0.5445276314,1.1166410804
1988,0.547037858,1.1346695795
1988.125,0.5495621419,1.1527212657
1988.25,0.5521004873,1.1707960178
1988.375,0.5546528981,1.1888935323
1988.5,0.5572193781,1.2070135059
1988.625,0.5597999306,1.2264601048
1988.75,0.5623957868,1.245928557
1988.875,0.565006948,1.2654185605
1989,0.5676334152,1.2849298134
1989.125,0.5702751891,1.3044620144
1989.25,0.5729322702,1.3240147467
1989.375,0.5756046583,1.3435877116
1989.5,0.5782923532,1.3631806105
1989.625,0.5809953543,1.3641320541
1989.75,0.5836960928,1.365102836
1989.875,0.5863945881,1.3660926526
1990,0.5890908592,1.3671012006
1990.125,0.5917849248,1.3681281785
1990.25,0.5944768032,1.369173128
1990.375,0.5971665125,1.3702357564
1990.5,0.5998540703,1.3713157759
1990.625,0.6025394939,1.2748887744
1990.75,0.6051309903,1.1784786055
1990.875,0.6076286841,1.0820849671
1991,0.6100326998,0.9857075648
1991.125,0.6123431614,0.8893461181
1991.25,0.6145601927,0.7929999551
1991.375,0.6166839171,0.6966688391
1991.5,0.6187144574,0.6003525623
1991.625,0.6206519364,0.4713661192
1991.75,0.6224657069,0.3423941995
1991.875,0.6241559276,0.2134366891
1992,0.6257227569,0.0844935127
1992.125,0.6271663532,-0.0444353632
1992.25,0.6284868749,-0.1733502785
1992.375,0.6296844799,-0.302251177
1992.5,0.630759326,-0.4311379553
1992.625,0.6317115711,-0.3091725363
1992.75,0.6327775144,-0.187192647
1992.875,0.6339570351,-0.065197961
1993,0.6352500128,0.056811893
1993.125,0.6366563276,0.1788373174
1993.25,0.6381758599,0.3008789327
1993.375,0.6398084906,0.4229371437
1993.5,0.6415541014,0.5450123269
1993.625,0.643412574,0.6272964548
1993.75,0.6453463147,0.7095982272
1993.875,0.6473552503,0.7919179302
1994,0.6494393079,0.8742558266
1994.125,0.6515984148,0.9566121568
1994.25,0.6538324986,1.0389872557
1994.375,0.6561414872,1.1213813315
1994.5,0.6585253085,1.2037945733
1994.625,0.6609838908,1.2398654614
1994.75,0.663473517,1.2759558391
1994.875,0.6659941674,1.3120658149
1995,0.6685458223,1.3481954514
1995.125,0.671128462,1.3843447679
1995.25,0.6737420668,1.4205140095
1995.375,0.6763866173,1.4567031256
1995.5,0.6790620939,1.4929120288
1995.625,0.681768477,1.5088392122
1995.75,0.6844866349,1.5247859077
1995.875,0.6872165704,1.5407519257
1996,0.689958286,1.5567370484
1996.125,0.6927117842,1.5727410326
1996.25,0.6954770671,1.5887632318
1996.375,0.6982541361,1.6048033576
1996.5,0.7010429925,1.6208611042
1996.625,0.7038436371,1.6108335348
1996.75,0.7066314972,1.6008229312
1996.875,0.7094066025,1.5908289408
1997,0.7121689823,1.5808512011
1997.125,0.7149186655,1.5708893428
1997.25,0.7176556806,1.5609414222
1997.375,0.7203800543,1.5510070477
1997.5,0.7230918131,1.5410858303
1997.625,0.7257909829,1.5564276798
1997.75,0.7285013602,1.5717819236
1997.875,0.7312229416,1.5871481972
1998,0.7339557235,1.602526145
1998.125,0.7366997019,1.6179154193
1998.25,0.7394548724,1.6333148602
1998.375,0.7422212295,1.6487241263
1998.5,0.7449987675,1.6641428849
1998.625,0.7477874801,1.6940158972
1998.75,0.7506009598,1.7238977606
1998.875,0.7534391833,1.7537881699
1999,0.7563021272,1.7836868271
1999.125,0.7591897678,1.8135934406
1999.25,0.7621020809,1.843514535
1999.375,0.7650390487,1.8734499066
1999.5,0.7680006531,1.9033993459
1999.625,0.7709868756,1.917010649
1999.75,0.7739823037,1.9306355853
1999.875,0.7769869374,1.9442739265
2000,0.7800007761,1.9579254399
2000.125,0.7830238193,1.9715898897
2000.25,0.7860560661,1.9852590622
2000.375,0.7890975077,1.9989328959
2000.5,0.7921481356,2.0126113212
2000.625,0.795207941,2.0158498351
2000.75,0.7982670824,2.0190927775
2000.875,0.8013255631,2.0223400534
2001,0.8043833858,2.0255915616
2001.125,0.8074405534,2.0288471954
2001.25,0.8104970686,2.0321069756
2001.375,0.8135529343,2.0353707872
2001.5,0.816608153,2.0386385117
2001.625,0.8196627272,2.0340070121
2001.75,0.8227092195,2.0293791829
2001.875,0.8257476411,2.0247548997
2002,0.8287780034,2.0201340379
2002.125,0.8318003174,2.0155164743
2002.25,0.8348145943,2.0109020673
2002.375,0.837820845,2.006290694
2002.5,0.8408190802,2.0016822349
2002.625,0.8438093106,1.9918970358
2002.75,0.8467866707,1.9821145261
2002.875,0.8497511771,1.9723346001
2003,0.852702846,1.9625571581
2003.125,0.8556416938,1.9527821068
2003.25,0.8585677366,1.9430095564
2003.375,0.8614809907,1.9332394318
2003.5,0.8643814725,1.9234716653
2003.625,0.867269198,1.9272172061
2003.75,0.8701569027,1.9309649944
2003.875,0.8730445872,1.93471499
2004,0.8759322517,1.9384671614
2004.125,0.8788198966,1.9422214849
2004.25,0.8817075223,1.9459781887
2004.375,0.8845951293,1.949737268
2004.5,0.8874827181,1.9534987239
2004.625,0.8903702892,1.947298656
2004.75,0.8932484632,1.9411009812
2004.875,0.896117252,1.9349057121
2005,0.898976668,1.9287128649
2005.125,0.9018267232,1.9225224596
2005.25,0.90466743,1.9163346965
2005.375,0.9074988006,1.9101496068
2005.5,0.9103208475,1.9039672252
2005.625,0.9131335832,1.9019650439
2005.75,0.9159409529,1.8999656515
2005.875,0.9187429641,1.8979690949
2006,0.9215396248,1.8959754245
2006.125,0.9243309425,1.8939846945
2006.25,0.927116925,1.8919972515
2006.375,0.9298975806,1.8900131615
2006.5,0.9326729174,1.8880324926
2006.625,0.9354429437,1.8957893333
2006.75,0.9382168314,1.9035497368
2006.875,0.9409945776,1.9113137776
2007,0.9437761792,1.9190815318
2007.125,0.9465616335,1.9268530755
2007.25,0.9493509375,1.9346287297
2007.375,0.9521440887,1.9424085736
2007.5,0.9549410847,1.9501926851
2007.625,0.957741923,1.9644423786
2007.75,0.9605526841,1.9786964879
2007.875,0.9633733581,1.9929550837
2008,0.9662039352,2.0072182336
2008.125,0.9690444055,2.0214860008
2008.25,0.9718947595,2.0357587475
2008.375,0.9747549878,2.0500365325
2008.5,0.9776250811,2.0643194091
2008.625,0.98050503,2.0754303439
2008.75,0.9833918346,2.0865464576
2008.875,0.9862854892,2.0976677834
2009,0.9891859886,2.1087943479
2009.125,0.9920933272,2.1199261706
2009.25,0.9950074998,2.1310635381
2009.375,0.9979285013,2.142206462
2009.5,1.0008563265,2.1533549473
2009.625,1.0037909702,2.1662072754
2009.75,1.0067340263,2.1790651546
2009.875,1.0096854875,2.1919285702
2010,1.0126453466,2.2047975016
2010.125,1.0156135966,2.2176719218
2010.25,1.0185902301,2.2305520967
2010.375,1.0215752401,2.2434379932
2010.5,1.0245686197,2.256329572
2010.625,1.0275703618,2.2641677596
2010.75,1.0305756966,2.2720115335
2010.875,1.0335846231,2.2798608364
2011,1.03659714,2.2877156058
2011.125,1.0396132461,2.295575774
2011.25,1.04263294,2.3034416205
