,GHG forcing,Observed warming
1980,0.949853273,0.4
1980.125,0.948128972,0.402756881
1980.25,0.946415214,0.405506072
1980.375,0.94471107,0.408247598
1980.5,0.94301572,0.410981483
1980.625,0.948336277,0.41370775
1980.75,0.953664277,0.416433028
1980.875,0.958999175,0.419157324
1981,0.964340503,0.421880645
1981.125,0.969687862,0.424602998
1981.25,0.975040635,0.427324388
1981.375,0.98039853,0.430044822
1981.5,0.985761312,0.432764305
1981.625,0.937203449,0.435482841
1981.75,0.888650147,0.438149613
1981.875,0.840101287,0.440764737
1982,0.791556783,0.443328329
1982.125,0.743016592,0.445840507
1982.25,0.694480762,0.448301386
1982.375,0.645949304,0.450711083
1982.5,0.59742226,0.453069713
1982.625,0.553890847,0.455377393
1982.75,0.510364025,0.457638942
1982.875,0.466841927,0.459854466
1983,0.423324715,0.46202407
1983.125,0.379812571,0.464147858
1983.25,0.336305854,0.466225937
1983.375,0.292804793,0.468258411
1983.5,0.249309633,0.470245386
1983.625,0.302615397,0.472186967
1983.75,0.355927611,0.474174488
1983.875,0.409246615,0.476207852
1984,0.462572761,0.478286963
1984.125,0.515906412,0.480411726
1984.25,0.569248161,0.482582045
1984.375,0.62259838,0.484797826
1984.5,0.675957438,0.487058975
1984.625,0.710323853,0.4893654
1984.75,0.744699828,0.491699097
1984.875,0.779085701,0.494060015
1985,0.813481802,0.4964481
1985.125,0.847888443,0.498863303
1985.25,0.882306235,0.501305569
1985.375,0.916735471,0.50377485
1985.5,0.951176429,0.506271094
1985.625,0.956612158,0.508794252
1985.75,0.962060118,0.511316924
1985.875,0.967520527,0.513839122
1986,0.97299359,0.516360859
1986.125,0.978479492,0.518882145
1986.25,0.983978571,0.521402991
1986.375,0.989490992,0.523923411
1986.5,0.995016909,0.526443416
1986.625,1.006025631,0.528963019
1986.75,1.017048117,0.531487387
1986.875,1.028084484,0.53401652
1987,1.039134841,0.53655042
1987.125,1.050199286,0.539089088
1987.25,1.061277981,0.541632525
1987.375,1.072371008,0.544180732
1987.5,1.083478437,0.546733712
1987.625,1.10151688,0.549291466
1987.75,1.119569841,0.551860514
1987.875,1.137637369,0.554440843
1988,1.155719504,0.55703244
1988.125,1.173816277,0.559635292
1988.25,1.191927875,0.562249388
1988.375,1.210054323,0.564874713
1988.5,1.228195636,0.567511256
1988.625,1.247656291,0.570159005
1988.75,1.267131818,0.572819175
1988.875,1.286622212,0.575491751
1989,1.306127459,0.57817672
1989.125,1.32564754,0.580874064
1989.25,1.345182323,0.58358377
1989.375,1.364731777,0.586305821
1989.5,1.384295868,0.589040202
1989.625,1.385213461,0.591786898
1989.75,1.386145599,0.594528306
1989.875,1.387092221,0.597264449
1990,1.388053263,0.599995352
1990.125,1.389028652,0.602721038
1990.25,1.39001817,0.605441531
1990.375,1.391021742,0.608156854
1990.5,1.392039292,0.610867031
1990.625,1.295546609,0.613572084
1990.75,1.199067744,0.616180122
1990.875,1.102602575,0.618691374
1991,1.006150982,0.62110607
1991.125,0.909712849,0.623424436
1991.25,0.813287694,0.625646703
1991.375,0.716875413,0.627773096
1991.5,0.620475911,0.629803843
1991.625,0.491404273,0.631739169
1991.75,0.362345258,0.633548496
1991.875,0.233298796,0.635232119
1992,0.104264831,0.63679033
1992.125,-0.024756676,0.638223425
1992.25,-0.153766061,0.639531695
1992.375,-0.282763329,0.640715433
1992.5,-0.411748461,0.641774931
1992.625,-0.289883494,0.642710478
1992.75,-0.168006296,0.643758778
1992.875,-0.046116694,0.644919586
1993,0.075785505,0.646192662
1993.125,0.197700508,0.647577764
1993.25,0.319628701,0.649074651
1993.375,0.441570312,0.650683083
1993.5,0.563525568,0.652402822
1993.625,0.645686315,0.654233628
1993.75,0.727861142,0.656137745
1993.875,0.810050236,0.65811502
1994,0.892253772,0.660165301
1994.125,0.974471908,0.662288435
1994.25,1.056704882,0.664484272
1994.375,1.138952831,0.666752661
1994.5,1.221215872,0.66909345
1994.625,1.257132413,0.67150649
1994.75,1.293064224,0.673947934
1994.875,1.329011348,0.676417733
1995,1.364973809,0.678915836
1995.125,1.400951613,0.681442191
1995.25,1.436944977,0.683996747
1995.375,1.472953881,0.686579455
1995.5,1.50897829,0.689190264
1995.625,1.524716765,0.691829124
1995.75,1.540470625,0.694476851
1995.875,1.556239784,0.697133436
1996,1.57202414,0.699798875
1996.125,1.587823581,0.702473158
1996.25,1.603637637,0.70515628
1996.375,1.619466174,0.707848232
1996.5,1.635309047,0.710549006
1996.625,1.625063489,0.713258594
1996.75,1.614831957,0.715952388
1996.875,1.604614279,0.718630433
1997,1.594410277,0.721292779
1997.125,1.584219768,0.723939471
1997.25,1.574041161,0.726570556
1997.375,1.563874253,0.72918608
1997.5,1.553718842,0.731786088
1997.625,1.568825021,0.734370623
1997.75,1.5839423,0.73696353
1997.875,1.59907049,0.739564797
1998,1.614209408,0.742174414
1998.125,1.629358874,0.744792372
1998.25,1.644517969,0.74741866
1998.375,1.65968651,0.750053266
1998.5,1.674864317,0.752696179
1998.625,1.704496298,0.755347388
1998.75,1.734137193,0.758020495
1998.875,1.763786837,0.760715457
1999,1.793445065,0.763432231
1999.125,1.823111716,0.766170773
1999.25,1.852792734,0.768931042
1999.375,1.882488036,0.771712998
1999.5,1.912197531,0.774516606
1999.625,1.925569133,0.777341826
1999.75,1.93895473,0.78017321
1999.875,1.952354209,0.783010756
2000,1.965767455,0.78585446
2000.125,1.979194346,0.78870432
2000.25,1.992628167,0.791560333
2000.375,2.006068944,0.79442249
2000.5,2.019516691,0.797290781
2000.625,2.022526987,0.800165198
2000.75,2.025544247,0.803035888
2000.875,2.028568452,0.805902863
2001,2.031599571,0.808766138
2001.125,2.034637564,0.811625726
2001.25,2.037682473,0.814481639
2001.375,2.040734245,0.817333891
2001.5,2.043792816,0.820182496
2001.625,2.038955101,0.823027465
2001.75,2.03412404,0.825861365
2001.875,2.02929955,0.828684224
2002,2.024481542,0.831496073
2002.125,2.019669924,0.834296941
2002.25,2.014864559,0.837086858
2002.375,2.010065345,0.839865853
2002.5,2.005272177,0.842633955
2002.625,1.995305406,0.845391195
2002.75,1.985344464,0.848132718
2002.875,1.975389241,0.850858564
2003,1.965439623,0.853568775
2003.125,1.955495499,0.856263389
2003.25,1.945556925,0.858942446
2003.375,1.935623791,0.861605985
2003.5,1.925695993,0.864254046
2003.625,1.929284435,0.866886668
2003.75,1.932878004,0.869516624
2003.875,1.936476603,0.872143923
2004,1.940080137,0.874768575
2004.125,1.943688511,0.877390589
2004.25,1.947301849,0.880009975
