,GHG forcing,Observed warming
1980,0.960878989,0.4
1980.125,0.966151364,0.432615708
1980.25,0.971449301,0.461277179
1980.375,0.976767892,0.486543562
1980.5,0.982103012,0.508882284
1980.625,0.933525839,0.528686958
1980.75,0.884958794,0.544668975
1980.875,0.836398679,0.557303147
1981,0.787842785,0.56699671
1981.125,0.739288823,0.57410126
1981.25,0.690734542,0.578922112
1981.375,0.642178317,0.581725734
1981.5,0.5936188,0.582745733
1981.625,0.550046029,0.582187693
1981.75,0.506467978,0.580383287
1981.875,0.462884023,0.577475957
1982,0.419293707,0.573593004
1982.125,0.375696724,0.568847601
1982.25,0.332092956,0.563340517
1982.375,0.288482347,0.557161585
1982.5,0.244864958,0.550390962
1982.625,0.298035716,0.543100223
1982.75,0.351200133,0.538265048
1982.875,0.404359882,0.535598838
1983,0.457516551,0.534846594
1983.125,0.510671655,0.535782371
1983.25,0.563826792,0.538206676
1983.375,0.616983351,0.541943909
1983.5,0.670142667,0.546839887
1983.625,0.704304176,0.552759524
1983.75,0.738470958,0.559013079
1983.875,0.772643937,0.565564043
1984,0.806824024,0.572380575
1984.125,0.841012106,0.57943492
1984.25,0.875209276,0.586702892
1984.375,0.909416369,0.59416343
1984.5,0.943634187,0.601798198
1984.625,0.948846284,0.609591238
1984.75,0.954070598,0.616655787
1984.875,0.95930743,0.623078324
1985,0.964557087,0.628934616
1985.125,0.969819875,0.634291154
1985.25,0.975096412,0.639206372
1985.375,0.980386989,0.643731696
1985.5,0.985691882,0.64791243
1985.625,0.996480522,0.651788524
1985.75,1.007283979,0.655559761
1985.875,1.018102545,0.659239115
1986,1.028936484,0.662838065
1986.125,1.03978603,0.666366769
1986.25,1.050651558,0.669834222
1986.375,1.061533254,0.673248397
1986.5,1.07243128,0.67661636
1986.625,1.090262319,0.679944378
1986.75,1.108109935,0.683446066
1986.875,1.125974308,0.687103733
1987,1.143855582,0.690901724
1987.125,1.161753875,0.694826188
1987.25,1.179669349,0.698864875
1987.375,1.197602068,0.703006948
1987.5,1.215552074,0.707242824
1987.625,1.234823852,0.711564027
1987.75,1.254112929,0.716002301
1987.875,1.273419296,0.720546828
1988,1.292742922,0.725188037
1988.125,1.312083756,0.72991746
1988.25,1.331441898,0.734727603
1988.375,1.350817266,0.739611845
1988.5,1.370209761,0.744564324
1988.625,1.370958175,0.749579861
1988.75,1.371723468,0.754092516
1988.875,1.372505265,0.758156819
1989,1.373303198,0.761821193
1989.125,1.374116915,0.765128683
1989.25,1.374945952,0.768117592
1989.375,1.375789974,0.770822026
1989.5,1.376648652,0.773272382
1989.625,1.279997536,0.77549577
1989.75,1.18336044,0.774582705
1989.875,1.086735882,0.770857068
1990,0.990122518,0.764609733
1990.125,0.893519129,0.756103256
1990.25,0.79692446,0.745575654
1990.375,0.700337529,0.733243449
1990.5,0.603757463,0.719304164
1990.625,0.474498669,0.703938368
1990.75,0.345245319,0.686328161
1990.875,0.215996475,0.666731691
1991,0.086751351,0.645386172
1991.125,-0.042490697,0.622509842
1991.25,-0.171730565,0.598303551
1991.375,-0.300968608,0.572952067
1991.5,-0.430205043,0.546625191
1991.625,-0.308602022,0.519478713
1991.75,-0.186997413,0.49920084
1991.875,-0.065388144,0.485010759
1992,0.056228625,0.476195309
1992.125,0.177855528,0.472111351
1992.25,0.299494666,0.472185032
1992.375,0.421148317,0.475908866
1992.5,0.542818533,0.482837418
1992.625,0.624698776,0.492582184
1992.75,0.706599064,0.503608615
1992.875,0.788520423,0.515769514
1993,0.870463776,0.52893805
1993.125,0.952429955,0.543005134
1993.25,1.03441989,0.55787708
1993.375,1.116434257,0.573473562
1993.5,1.198473666,0.589725815
1993.625,1.234176968,0.606575071
1993.75,1.269906336,0.622576579
1993.875,1.305661693,0.637844541
1994,1.341442969,0.652477755
1994.125,1.377250094,0.666561897
1994.25,1.413083105,0.680171425
1994.375,1.448941941,0.693371188
1994.5,1.48482654,0.706217773
1994.625,1.50043545,0.718760643
1994.75,1.516069984,0.730432418
1994.875,1.531729849,0.741335692
1995,1.547414767,0.751560367
1995.125,1.563124476,0.761185379
1995.25,1.578858966,0.770280163
1995.375,1.594618002,0.77890591
1995.5,1.610401358,0.787116619
1995.625,1.600106194,0.794960009
1995.75,1.58983491,0.801693098
1995.875,1.579587026,0.807432947
1996,1.569362092,0.812283408
1996.125,1.559159685,0.816336815
1996.25,1.548979036,0.819675419
1996.375,1.538819767,0.822372607
1996.5,1.528681519,0.82449397
1996.625,1.543814248,0.826098208
1996.75,1.558967336,0.827997489
1996.875,1.574140727,0.830163108
1997,1.589334352,0.832569322
1997.125,1.604548091,0.835193057
1997.25,1.619780269,0.838013632
1997.375,1.635030659,0.841012473
1997.5,1.650298996,0.844172937
1997.625,1.68003007,0.847480117
1997.75,1.709778468,0.85135519
1997.875,1.739543977,0.855743393
1998,1.769326347,0.860595728
1998.125,1.799125298,0.86586839
1998.25,1.828939731,0.871522244
1998.375,1.858769307,0.87752232
1998.5,1.888613664,0.883837412
1998.625,1.902120435,0.890439681
1998.75,1.915641208,0.896812412
1998.875,1.929175422,0.902980595
1999,1.942722511,0.908966555
1999.125,1.956281908,0.914790251
1999.25,1.969859555,0.920469538
1999.375,1.983454941,0.926020598
1999.5,1.997067546,0.931457927
1999.625,2.000252416,0.936794516
1999.75,2.003453442,0.941727836
1999.875,2.006669995,0.946297607
2000,2.00990145,0.950539492
2000.125,2.013147185,0.954485537
2000.25,2.016399737,0.958164563
2000.375,2.01965867,0.961602305
2000.5,2.022923549,0.964821944
2000.625,2.018290922,0.967844376
2000.75,2.013663372,0.970450708
2000.875,2.009040401,0.97267969
2001,2.004421517,0.974566325
2001.125,1.99980624,0.976142262
2001.25,1.995194183,0.977436138
2001.375,1.990584887,0.978473881
2001.5,1.985977901,0.979278984
2001.625,1.976193249,0.979872742
2001.75,1.966410045,0.980118659
2001.875,1.956627838,0.98004842
2002,1.946846194,0.979690802
2002.125,1.9370647,0.979071955
2002.25,1.927282909,0.978215651
2002.375,1.917500444,0.977143518
2002.5,1.907716946,0.975875231
2002.625,1.911443088,0.974428706
2002.75,1.915167548,0.973226685
2002.875,1.918890136,0.972246908
2003,1.922610681,0.971469094
2003.125,1.926329029,0.970874771
2003.25,1.930045216,0.970447128
2003.375,1.933759127,0.970170872
2003.5,1.937470664,0.970032093
2003.625,1.931215843,0.970018146
2003.75,1.924958507,0.969817807
2003.875,1.91869854,0.969448054
2004,1.912435848,0.968924315
2004.125,1.906170355,0.968260613
2004.25,1.899902236,0.967469696
2004.375,1.893631461,0.966563167
2004.5,1.887358021,0.96555158
2004.625,1.885259379,0.964444541
2004.75,1.883158108,0.963376453
2004.875,1.881054283,0.962343729
2005,1.878947993,0.961343104
2005.125,1.876839344,0.960371612
2005.25,1.874728623,0.959426557
2005.375,1.872615967,0.958505494
2005.5,1.870501528,0.957606204
2005.625,1.878119486,0.956726674
2005.75,1.885736001,0.956157892
2005.875,1.893351323,0.955871178
2006,1.900965709,0.955840475
2006.125,1.908579425,0.956042128
2006.25,1.916193012,0.956454671
2006.375,1.923806754,0.957058643
2006.5,1.931420933,0.957836404
2006.625,1.945497079,0.958771968
2006.75,1.959574241,0.960045218
2006.875,1.973652749,0.961625149
2007,1.987732932,0.963483692
2007.125,2.001815114,0.965595453
2007.25,2.015899838,0.967937465
2007.375,2.029987423,0.970488978
2007.5,2.044078184,0.973231241
2007.625,2.054995346,0.976147319
2007.75,2.065916288,0.979126346
2007.875,2.076841282,0.982163211
2008,2.08777059,0.985253305
2008.125,2.098704465,0.988392474
2008.25,2.109643424,0.991576978
2008.375,2.120587702,0.994803454
2008.5,2.131537522,0.998068876
2008.625,2.144191377,1.001370517
2008.75,2.156851183,1.004757012
2008.875,2.169517133,1.008221583
2009,2.182189408,1.011758114
2009.125,2.194868175,1.015361083
2009.25,2.207553842,1.01902551
2009.375,2.220246553,1.022746908
2009.5,2.232946442,1.02652123
2009.625,2.240594598,1.030344827
2009.75,2.248250155,1.034062222
2009.875,2.255913183,1.037683806
2010,2.263583737,1.041218991
2010.125,2.271261859,1.044676308
2010.25,2.278947859,1.048063494
2010.375,2.286641758,1.051387575
2010.5,2.294343567,1.054654926
2010.625,2.302840523,1.057871335
2010.75,2.311345378,1.061065738
2010.875,2.319858115,1.064240867
2011,2.328378706,1.067399205
2011.125,2.336907111,1.07054301
2011.25,2.345443611,1.073674338
2011.375,2.353988151,1.076795067
2011.5,2.362540669,1.079906908
2011.625,2.383162745,1.083011417
2011.75,2.403792642,1.086472845
2011.875,2.424430311,1.090261721
2012,2.4450757,1.094351277
2012.125,2.465728747,1.098717211
2012.25,2.486389671,1.103337471
2012.375,2.507058401,1.108192067
2012.5,2.527734856,1.113262874
2012.625,2.531785643,1.118533467
2012.75,2.535843973,1.123488609
2012.875,2.539909687,1.128156182
2013,2.543982616,1.132561496
2013.125,2.548062576,1.136727552
2013.25,2.552149689,1.14067526
2013.375,2.556243757,1.144423659
2013.5,2.560344572,1.147990083
2013.625,2.566637151,1.151390323
2013.75,2.572936043,1.154704508
2013.875,2.579241026,1.157940446
2014,2.585551877,1.161105262
2014.125,2.591868368,1.164205453
2014.25,2.59819067,1.167246953
2014.375,2.604518555,1.170235187
2014.5,2.610851796,1.173175111
2014.625,2.615099786,1.176071251
2014.75,2.619352674,1.178864859
2014.875,2.623610227,1.181564714
2015,2.627872212,1.184178841
2015.125,2.632138398,1.186714582
2015.25,2.636408877,1.18917865
2015.375,2.640683426,1.191577199
