,residual_ERF
1750.5,0.0
1751.5,0.005409438535199329
1752.5,0.008798309921484301
1753.5,0.005683402408189901
1754.5,-0.0023342659864941
1755.5,0.0025527344048709992
1756.5,0.005468328161828499
1757.5,-0.004091149352300001
1758.5,-0.0002814633199026002
1759.5,-0.0015846661188296998
1760.5,-0.0068285432719269006
1761.5,-0.0037020645063667004
1762.5,-0.0006178661769061006
1763.5,-0.0005264330368171005
1764.5,0.011725551624103598
1765.5,-0.0032892260539517004
1766.5,0.003685544154378901
1767.5,0.003059073403090702
1768.5,-0.0105795987868231
1769.5,-0.004287112857085596
1770.5,-0.004418886525360104
1771.5,0.005371175461012102
1772.5,0.009941067827225196
1773.5,0.0081798217113338
1774.5,-0.0056617980222171006
1775.5,0.0010734761824838033
1776.5,0.005172737989889402
1777.5,-0.00011512943839239688
1778.5,-0.0045128029192027
1779.5,0.0009996320444850063
1780.5,-0.006981036501527402
1781.5,-0.002266448464934298
1782.5,-0.0006649414689648067
1783.5,0.0015095176543940955
1784.5,0.01023373432444169
1785.5,-0.0006709624262359951
1786.5,0.005180949282231197
1787.5,0.000352437579726706
1788.5,-0.012184212484663795
1789.5,-0.005549857983317004
1790.5,-0.006432535785693504
1791.5,0.0024589913214908975
1792.5,0.0061843399165997
1793.5,0.005359937545406008
1794.5,-0.008991135289142397
1795.5,-0.0025304535011922
1796.5,0.0020257174965711998
1797.5,-0.0035290217391016937
1798.5,-0.007409133818202811
1799.5,-0.005962079313212789
1800.5,-0.010588193431757594
1801.5,-0.00626381395464801
1802.5,-0.007367575258649804
1803.5,-0.002151103304887593
1804.5,0.0019730456397723988
1805.5,-0.007241243474668904
1806.5,-0.0038242198837709915
1807.5,-0.0072063233553834065
1808.5,-0.01913980061872921
1809.5,-0.013639436758808798
1810.5,-0.015141507665455505
1811.5,-0.008277881338682392
1812.5,-0.002996554253336896
1813.5,-0.005961605774371806
1814.5,-0.019580041071276998
1815.5,-0.01426425970114819
1816.5,-0.013247469443163903
1817.5,-0.015229710016863792
1818.5,-0.02199100771487651
1819.5,-0.018466258341756695
1820.5,-0.024982897157958307
1821.5,-0.022388074176635513
1822.5,-0.021973763757103602
1823.5,-0.016813576305095012
1824.5,-0.014806038968611407
1825.5,-0.022474110976315503
1826.5,-0.018316660482616286
1827.5,-0.022210965407593805
1828.5,-0.035901569179125306
1829.5,-0.030727820027330103
1830.5,-0.035139598338501506
1831.5,-0.025950657267561315
1832.5,-0.02334155631958231
1833.5,-0.026520963489103995
1834.5,-0.03886261963500581
1835.5,-0.03287478663497089
1836.5,-0.03609422962070089
1837.5,-0.03788954210270178
1838.5,-0.044127743687783515
