config,0,1,2
223,0.282366568738743,0.23423612003914693,0.18633486939365262
248,0.1974335182771183,0.11288935665050763,0.11123615119080305
337,0.15266870321502213,0.26755832052029177,0.2789531608319673
1126,0.1879710482092764,0.12581421105834803,0.08345596333593126
1483,0.5106281415048151,0.3394963582187903,0.06750990533863616
2227,0.3641045852513954,0.19221583484154728,0.10662283472127304
4608,0.24645539264014282,0.1291743248645856,0.09484088486215092
5683,0.33109377593949435,0.2211952177554745,0.12324694572278169
5797,0.4438441435870498,0.2222316263097902,0.1427572736934233
8678,0.4096559857667384,0.11345723831350127,0.026753514713816137
16076,0.4380933530900295,0.3064555446480893,0.2795047986547742
16346,0.3559309998676508,0.21002737545910227,0.17380863529498544
17836,0.4138988626874652,0.2253883239237305,0.1020827315002833
17989,0.17104320590908806,0.11456520046033362,0.10716342350598546
18622,0.4925965422825256,0.27263575118943906,0.18945598407249523
20430,0.2290613051095495,0.10938876987994237,0.04885334328243545
20449,0.2859657180277161,0.31704328025151357,0.35271148700194843
21273,0.32142985572599214,0.2061611275472958,0.12019135308424841
21921,0.2379063511138746,0.2234013565943353,0.12284516045895787
23300,0.36586996044271747,0.17016263679476112,0.03441080631183916
23364,0.26767679718755955,0.19058900120331315,0.12956825249090848
25308,0.45082877738859367,0.2345236399517144,0.12597957612485883
26897,0.5833890800872213,0.13930726257146497,0.10986211284077943
30593,0.050464533481129656,0.058859000230481066,0.09089250526074714
31117,0.3227590527867538,0.1401897442334671,0.06183728257555558
33834,0.14544439741270987,0.1722062133747656,0.09641340746958862
35518,0.24549593240303097,0.18596962860742028,0.1734166918692986
38231,0.2919384223660546,0.22883778616981362,0.17787066202909654
39974,0.3115422951882102,0.24504284540340276,0.1779543385797101
41275,0.286844664288275,0.19665640069079215,0.15069077928916463
41400,0.2560649382012392,0.20257075467188823,0.1339733329440247
41464,0.4604700268423127,0.24210038266067285,0.06384574501700889
44465,0.3946682692806066,0.21087751407171876,0.06519041322634081
45571,0.2819595396076018,0.1946370983801805,0.16203598521382262
47803,0.24075494317305732,0.20206247347164777,0.1990396594620659
